HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 11:10:52 at https://www.nyerk.xyz +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -WC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.nyerk.xyz -O1 "C:\My Web Sites\Nyerk Forum" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:48:25	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s29.postimg.org/dxnbkfb3b/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:48:28	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/3le6xzodl/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=204)
11:49:30	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s9.postimg.org/reapa8iq7/unknown_project.jpg (from https://www.nyerk.xyz/viewtopic.php?f=8&t=335&start=10)
11:49:43	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s26.postimg.org/p01ftcn9h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:49:43	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s26.postimg.org/wwlx1kypx/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:49:43	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s26.postimg.org/8u536pi2t/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:50:17	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/ppkifgwvd/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=213)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/jpg85qdzd/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/h84gyijt5/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/f3k3xhv21/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/3r7ifvu4p/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/k3hk5a8cp/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/nac3p3fzt/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s10.postimg.org/6mklmosyx/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:50:19	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s1.postimg.org/486vfe99of/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=273)
11:50:26	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s28.postimg.org/9e1r2p0v1/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=242)
11:50:26	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link porpaczy.net/Panicmode.png (from https://www.nyerk.xyz/viewtopic.php?f=6&t=143)
11:50:26	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link porpaczy.net/radar.png (from https://www.nyerk.xyz/viewtopic.php?f=6&t=143)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/l0znqrusp/Aion0024.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/6a6h7a149/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s15.postimg.org/6zyl97upn/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s4.postimg.org/k66pxmy31/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s22.postimg.org/jfqkqxxc1/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179&p=1041)
11:50:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s21.postimg.org/r9lh2y9lz/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=189)
11:50:44	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s8.postimg.org/5kmkz7x1h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:50:44	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s11.postimg.org/65cnh4yib/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:50:44	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s3.postimg.org/seieb5cmb/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:50:44	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s29.postimg.org/dxnbkfb3b/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:50:44	Error: 	"Not Found" (404) at link ads.themoneytizer.com/s/('https:' (from ads.themoneytizer.com/s/requestform.js?siteId=216&formatId=6)
11:50:44	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s2.postimg.org/3le6xzodl/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=204)
11:50:49	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s9.postimg.org/reapa8iq7/unknown_project.jpg (from https://www.nyerk.xyz/viewtopic.php?f=8&t=335&start=10)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s2.postimg.org/ppkifgwvd/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=213)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/jpg85qdzd/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/h84gyijt5/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/f3k3xhv21/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/3r7ifvu4p/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/k3hk5a8cp/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/nac3p3fzt/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
